SqFt,Bedrooms,Bathrooms,AgeYears,GarageSpaces,LotSize,OverallQuality,DistanceToCityKm,Neighborhood,SalePrice,RoomsTotal,QualityPerAge
500.0,3,1.8,100.0,2.0,827.0,9,1.7,Suburb,146507.0,4.8,0.0891089108910891
3060.0,3,2.1,7.0,2.0,7723.0,8,0.5,Waterfront,677736.0,5.1,1.0
1036.0,2,2.3,7.0,0.0,3448.0,5,4.4,Rural,158750.0,4.3,0.625
895.0,4,3.1,3.0,1.0,1376.0,3,0.2,Suburb,219184.0,7.1,0.75
2362.0,2,1.2,4.0,2.0,8109.0,8,3.1,Downtown,462864.0,3.2,1.6
3142.0,3,2.1,7.0,2.0,10617.0,1,3.7,Downtown,510329.0,5.1,0.125
2561.0,3,2.0,31.0,2.0,8284.0,3,3.8,Downtown,409629.0,5.0,0.09375
2110.0,4,2.5,47.0,0.0,3573.0,7,31.0,Rural,258391.0,6.5,0.14583333333333334
2127.0,4,3.4,74.0,2.0,5654.0,4,2.9,Suburb,349996.0,7.4,0.05333333333333334
2269.0,4,2.2,5.0,1.0,6694.0,7,2.5,Rural,288056.0,6.2,1.1666666666666667
2217.0,4,3.7,43.0,2.0,7688.0,5,1.1,Downtown,428509.0,7.7,0.11363636363636363
1955.0,2,2.1,8.0,2.0,3157.0,6,5.7,Waterfront,449283.0,4.1,0.6666666666666666
1857.0,2,2.2,2.0,1.0,5500.0,7,1.3,Rural,277141.0,4.2,2.3333333333333335
1766.0,4,2.7,41.0,0.0,3495.0,10,7.7,Downtown,368181.0,6.7,0.23809523809523808
1385.0,3,2.2,20.0,0.0,2221.0,7,1.3,Downtown,292352.0,5.2,0.3333333333333333
1646.0,3,1.6,4.0,2.0,3570.0,7,6.9,Downtown,353644.0,4.6,1.4
869.0,1,1.0,11.0,2.0,2629.0,7,14.0,Suburb,213981.0,2.0,0.5833333333333334
1746.0,3,2.5,7.0,2.0,3962.0,7,0.3,Suburb,314235.0,5.5,0.875
1256.0,1,1.7,27.0,2.0,3060.0,3,4.4,Suburb,200341.0,2.7,0.10714285714285714
1193.0,4,2.3,12.0,1.0,4162.0,3,4.9,Downtown,291683.0,6.3,0.23076923076923078
1899.0,2,1.5,91.0,1.0,4022.0,7,12.5,Suburb,281677.0,3.5,0.07608695652173914
2566.0,3,2.2,1.0,2.0,6711.0,2,5.0,Downtown,373374.0,5.2,1.0
2305.0,1,1.0,9.0,1.0,4702.0,2,6.7,Downtown,374414.0,2.0,0.2
936.0,4,3.2,13.0,3.0,1969.0,3,12.5,Suburb,192185.0,7.2,0.21428571428571427
1256.0,3,1.9,14.0,2.0,3517.0,4,6.6,Suburb,241469.0,4.9,0.26666666666666666
2317.0,4,2.8,8.0,1.0,7778.0,6,3.5,Rural,322150.0,6.8,0.6666666666666666
1260.0,4,2.7,26.0,2.0,3084.0,8,0.7,Downtown,298125.0,6.7,0.2962962962962963
1676.0,3,1.9,42.0,2.0,4973.0,10,10.5,Suburb,322548.0,4.9,0.23255813953488372
2103.0,5,3.5,56.0,1.0,2955.0,10,16.4,Suburb,374157.0,8.5,0.17543859649122806
