CustomerID,Recency,Frequency,Monetary,Cluster,Segment
10001,20,60,5055.27,4,Champions
10002,1,61,5531.37,4,Champions
10003,12,109,8144.48,4,Champions
10004,5,66,5089.99,4,Champions
10005,19,58,5888.74,4,Champions
10006,29,119,9401.56,4,Champions
10007,6,55,3799.37,4,Champions
10008,28,122,8683.67,4,Champions
10009,12,100,7369.62,4,Champions
10010,3,63,4504.3,4,Champions
10011,13,70,5424.93,4,Champions
10012,17,86,6930.35,4,Champions
10013,18,92,7431.06,4,Champions
10014,27,53,5182.14,4,Champions
10015,21,49,4718.0,4,Champions
10016,2,83,6874.02,4,Champions
10017,30,76,6504.14,4,Champions
10018,25,54,5385.99,4,Champions
10019,11,51,3908.65,4,Champions
10020,2,112,8508.05,4,Champions
10021,6,68,5073.89,4,Champions
10022,31,94,7199.17,4,Champions
10023,12,105,7241.21,4,Champions
10024,22,96,7573.14,4,Champions
10025,6,120,9274.07,4,Champions
10026,18,66,5792.71,4,Champions
10027,25,112,8939.37,4,Champions
10028,2,58,6051.0,4,Champions
10029,5,59,3932.8,4,Champions
10030,24,58,3714.34,4,Champions
10031,8,74,6772.29,4,Champions
10032,30,78,6165.58,4,Champions
10033,28,95,7707.04,4,Champions
10034,5,113,9081.6,4,Champions
10035,11,55,4452.75,4,Champions
10036,22,83,6925.45,4,Champions
10037,17,82,7144.93,4,Champions
10038,14,83,7004.81,4,Champions
10039,5,103,7820.35,4,Champions
10040,13,119,8882.5,4,Champions
10041,18,97,7918.7,4,Champions
10042,29,94,8999.72,4,Champions
10043,6,48,3543.36,0,Champions
10044,27,113,9911.27,4,Champions
10045,26,59,5003.78,4,Champions
10046,24,71,5150.29,4,Champions
10047,7,103,7754.25,4,Champions
10048,15,76,5040.47,4,Champions
10049,23,63,5520.33,4,Champions
10050,5,123,10105.17,4,Champions
10051,21,58,4750.09,4,Champions
10052,23,64,4908.73,4,Champions
10053,11,121,8554.65,4,Champions
10054,23,59,4725.49,4,Champions
10055,7,103,8773.76,4,Champions
10056,10,98,7198.94,4,Champions
10057,22,125,9091.88,4,Champions
10058,18,97,6971.73,4,Champions
10059,19,85,6427.29,4,Champions
10060,7,48,3480.76,0,Champions
10061,17,54,5397.08,4,Champions
10062,15,54,4715.29,4,Champions
10063,31,46,3731.84,0,Champions
10064,10,127,8768.23,4,Champions
10065,30,45,4328.6,4,Champions
10066,26,76,6863.21,4,Champions
10067,25,61,5464.7,4,Champions
10068,9,68,5954.8,4,Champions
10069,17,118,8028.02,4,Champions
10070,29,57,4440.71,4,Champions
10071,17,90,7895.36,4,Champions
10072,13,90,9032.94,4,Champions
10073,3,112,8409.58,4,Champions
10074,31,84,6528.37,4,Champions
10075,12,104,7760.35,4,Champions
10076,16,115,8942.51,4,Champions
10077,9,132,9323.09,4,Champions
10078,9,73,5937.14,4,Champions
10079,19,101,7460.02,4,Champions
10080,11,65,5831.97,4,Champions
10081,15,126,10050.11,4,Champions
10082,22,79,6866.17,4,Champions
10083,19,99,8775.86,4,Champions
10084,16,118,9033.5,4,Champions
10085,8,105,8789.83,4,Champions
10086,18,55,3497.87,4,Champions
10087,30,116,9011.82,4,Champions
10088,24,53,3574.1,4,Champions
10089,31,57,3598.67,4,Champions
10090,4,60,5413.05,4,Champions
10091,10,74,5625.73,4,Champions
10092,8,80,6765.61,4,Champions
10093,6,47,3827.37,4,Champions
10094,1,86,6669.39,4,Champions
10095,6,73,7065.2,4,Champions
10096,30,83,6076.49,4,Champions
